sample input filtered denoised.fwd denoised.rev merged
P01-01-A-n01_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-A-n02_fun_fwd-n04_fun_rev 3 3 3 3 3
P01-01-A-n03_fun_fwd-n02_fun_rev 3 2 2 2 2
P01-01-A-n03_fun_fwd-n03_fun_rev 389 377 376 376 376
P01-01-A-n03_fun_fwd-n04_fun_rev 9 9 9 9 9
P01-01-A-n03_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-A-n04_fun_fwd-n02_fun_rev 2 2 2 2 2
P01-01-A-n04_fun_fwd-n03_fun_rev 24 23 23 22 22
P01-01-A-n04_fun_fwd-n04_fun_rev 3723 3656 3650 3655 3650
P01-01-A-n04_fun_fwd-n05_fun_rev 15 15 15 15 15
P01-01-A-n04_fun_fwd-n06_fun_rev 2 2 2 2 2
P01-01-A-n04_gi_fwd-n06_gi_rev 1 1 NA NA NA
P01-01-A-n04_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-A-n05_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-A-n05_fun_fwd-n03_fun_rev 2 2 2 2 2
P01-01-A-n05_fun_fwd-n04_fun_rev 23 23 23 23 23
P01-01-A-n05_fun_fwd-n05_fun_rev 2376 2342 2342 2342 2342
P01-01-A-n05_fun_fwd-n06_fun_rev 9 9 9 9 9
P01-01-A-n05_fun_fwd-n07_fun_rev 1 1 1 1 1
P01-01-A-n05_gi_fwd-n06_gi_rev 29 28 NA NA NA
P01-01-A-n05_gi_fwd-n07_gi_rev 6 6 NA NA NA
P01-01-A-n06_fun_fwd-n02_fun_rev 1 1 1 1 0
P01-01-A-n06_fun_fwd-n03_fun_rev 2 2 2 2 0
P01-01-A-n06_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-A-n06_fun_fwd-n05_fun_rev 29 28 27 27 27
P01-01-A-n06_fun_fwd-n06_fun_rev 2263 2210 2209 2209 2209
P01-01-A-n06_fun_fwd-n07_fun_rev 5 4 4 4 0
P01-01-A-n06_gi_fwd-n04_gi_rev 1 1 NA NA NA
P01-01-A-n06_gi_fwd-n06_gi_rev 782 769 NA NA NA
P01-01-A-n06_gi_fwd-n07_gi_rev 151 150 NA NA NA
P01-01-A-n06_gi_fwd-n08_gi_rev 4 4 NA NA NA
P01-01-A-n07_fun_fwd-n06_fun_rev 1 1 1 1 0
P01-01-A-n07_gi_fwd-n06_gi_rev 3 3 NA NA NA
P01-01-A-n07_gi_fwd-n07_gi_rev 893 883 NA NA NA
P01-01-A-n07_gi_fwd-n08_gi_rev 42 42 NA NA NA
P01-01-A-n08_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-A-n08_gi_fwd-n07_gi_rev 10 10 NA NA NA
P01-01-A-n08_gi_fwd-n08_gi_rev 1049 1033 NA NA NA
P01-01-A-n08_gi_fwd-n09_gi_rev 19 18 NA NA NA
P01-01-A-n09_gi_fwd-n08_gi_rev 11 11 NA NA NA
P01-01-A-n09_gi_fwd-n09_gi_rev 413 408 NA NA NA
P01-01-A-n09_gi_fwd-n10_gi_rev 2 2 NA NA NA
P01-01-A-n10_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-B-n02_fun_fwd-n03_fun_rev 2 2 2 2 2
P01-01-B-n02_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-B-n03_fun_fwd-n03_fun_rev 111 109 109 109 109
P01-01-B-n03_fun_fwd-n04_fun_rev 6 6 6 6 0
P01-01-B-n03_fun_fwd-n06_fun_rev 2 2 2 2 2
