trim3 reads
P01-01-A-n06_fun_fwd-n03_fun_rev 2
P01-01-E-n06_gi_fwd-n08_gi_rev 3
P01-01-H-n07_gi_fwd-n05_gi_rev 1
P01-01-D-n04_fun_fwd-n03_fun_rev 62
P01-01-E-n04_fun_fwd-n04_fun_rev 5355
P01-01-A-n06_gi_fwd-n06_gi_rev 794
P01-01-F-n03_fun_fwd-n02_fun_rev 7
P01-01-F-n09_gi_fwd-n09_gi_rev 649
P01-01-D-n06_gi_fwd-n05_gi_rev 2
P01-01-E-n05_fun_fwd-n06_fun_rev 10
P01-01-H-n05_fun_fwd-n05_fun_rev 557
P01-01-B-n09_gi_fwd-n07_gi_rev 1
P01-01-G-n06_gi_fwd-n03_fun_rev 1
P01-01-B-n08_gi_fwd-n08_gi_rev 74
P01-01-A-n06_gi_fwd-n06_fun_rev 1
P01-01-A-n05_fun_fwd-n05_fun_rev 2456
P01-01-E-n07_gi_fwd-n07_gi_rev 621
P01-01-B-n02_fun_fwd-n03_fun_rev 2
P01-01-D-n05_gi_fwd-n07_gi_rev 4
P01-01-C-n02_fun_fwd-n04_fun_rev 2
P01-01-G-n03_fun_fwd-n04_fun_rev 3
P01-01-E-n06_gi_fwd-n06_gi_rev 203
P01-01-F-n03_fun_fwd-n03_fun_rev 1031
P01-01-C-n01_fun_fwd-n03_fun_rev 1
P01-01-H-n05_fun_fwd-n04_fun_rev 7
P01-01-A-n06_gi_fwd-n08_gi_rev 4
P01-02-A-n08_gi_fwd-n08_gi_rev 1
P01-01-D-n04_gi_fwd-n06_gi_rev 2
P01-01-E-n04_fun_fwd-n05_fun_rev 24
P01-01-B-n06_gi_fwd-n05_fun_rev 1
P01-01-H-n04_fun_fwd-n06_fun_rev 1
P01-01-D-n04_fun_fwd-n02_fun_rev 3
P01-01-A-n06_fun_fwd-n02_fun_rev 1
P01-01-H-n05_gi_fwd-n06_gi_rev 7
P01-01-F-n09_gi_fwd-n07_gi_rev 3
P01-01-B-n09_gi_fwd-n09_gi_rev 626
P01-01-A-n04_fun_fwd-n06_fun_rev 2
P01-01-D-n06_fun_fwd-n06_fun_rev 175
P01-01-F-n08_gi_fwd-n08_gi_rev 1153
P01-02-C-n03_fun_fwd-n03_fun_rev 1
P01-01-E-n07_gi_fwd-n09_gi_rev 1
P01-01-A-n05_fun_fwd-n04_fun_rev 31
P01-01-A-n07_gi_fwd-n07_gi_rev 901
P01-01-A-n05_fun_fwd-n07_fun_rev 1
P01-01-C-n03_fun_fwd-n04_fun_rev 21
P01-01-D-n05_gi_fwd-n06_gi_rev 21
P01-01-D-n10_gi_fwd-n09_gi_rev 1
P01-01-B-n03_fun_fwd-n03_fun_rev 111
P01-01-A-n07_gi_fwd-n08_gi_rev 42
P01-01-F-n01_fun_fwd-n04_fun_rev 2
P01-01-F-n08_gi_fwd-n07_gi_rev 23
P01-01-H-n04_gi_fwd-n06_gi_rev 1
P01-01-A-n04_fun_fwd-n05_fun_rev 21
P01-01-B-n08_gi_fwd-n09_gi_rev 18
P01-01-H-n07_gi_fwd-n06_fun_rev 1
P01-01-D-n06_fun_fwd-n05_fun_rev 7
P01-01-F-n09_gi_fwd-n08_gi_rev 26
P01-01-D-n04_fun_fwd-n01_fun_rev 1
P01-01-H-n04_fun_fwd-n05_fun_rev 6
P01-01-E-n04_fun_fwd-n06_fun_rev 2
P01-01-B-n06_fun_fwd-n08_fun_rev 1
P01-01-B-n06_gi_fwd-n06_fun_rev 3
P01-01-E-n05_fun_fwd-n04_fun_rev 52
P01-01-D-n05_fun_fwd-n03_fun_rev 1
P01-01-A-n06_gi_fwd-n07_gi_rev 155
P01-01-E-n07_gi_fwd-n08_gi_rev 24
P01-01-D-n05_gi_fwd-n08_gi_rev 1
P01-01-A-n07_gi_fwd-n06_gi_rev 3
P01-01-A-n04_fun_fwd-n04_fun_rev 3735
P01-01-F-n08_gi_fwd-n09_gi_rev 25
P01-01-A-n05_fun_fwd-n06_fun_rev 17
P01-01-B-n08_gi_fwd-n07_gi_rev 8
P01-01-H-n09_gi_fwd-n10_gi_rev 1
P01-01-F-n09_gi_fwd-n06_gi_rev 1
P01-01-H-n05_gi_fwd-n07_gi_rev 1
P01-01-H-n05_fun_fwd-n06_fun_rev 4
P01-01-E-n05_fun_fwd-n05_fun_rev 4514
P01-01-B-n09_gi_fwd-n08_gi_rev 20
P01-01-F-n02_fun_fwd-n03_fun_rev 7
P01-01-E-n06_gi_fwd-n07_gi_rev 86
P01-02-D-n04_fun_fwd-n04_fun_rev 1
P01-01-H-n04_fun_fwd-n04_fun_rev 512
P01-01-F-n02_fun_fwd-n05_fun_rev 1
P01-02-A-n06_gi_fwd-n03_fun_rev 1
P01-01-D-n07_gi_fwd-n06_gi_rev 4
P01-01-E-n05_gi_fwd-n06_gi_rev 11
P01-01-E-n10_gi_fwd-n09_gi_rev 3
P01-01-A-n06_fun_fwd-n06_fun_rev 2285
P01-01-D-n05_fun_fwd-n04_fun_rev 53
P01-01-G-n08_gi_fwd-n07_gi_rev 2
P01-01-E-n05_fun_fwd-n03_fun_rev 2
P01-01-C-n08_gi_fwd-n09_gi_rev 12
P01-01-H-n06_gi_fwd-n06_gi_rev 321
